Country,Rank,PDS,Permalink,Opportunity ID,"Gift Margin (Mar 2026, USD)",Tag Action
UK,13,Helicopter,https://groupon.co.uk/deals/adventure-001-6-6,006Uj00000C4XrJIAV,2060.0,OK
UK,14,Massage - Choice of - In Spa,https://groupon.co.uk/deals/beauty-lounge-175,0063c00001ItucdAAB,1890.97,OK
UK,15,Tea - Afternoon,https://groupon.co.uk/deals/stoneleigh-abbey-24,006Uj00000DDvSPIA1,1810.7,OK
UK,16,Spa - Day Pass,https://groupon.co.uk/deals/macdonald-crutherland-house-and-spa-1,006Uj00000V608LIAR,1737.37,OK
UK,17,Spa - Day Pass,https://groupon.co.uk/deals/montcalm-east-hotel-and-spa-1,006Uj00000RoYqBIAV,1690.72,OK
UK,18,Helicopter,https://groupon.co.uk/deals/adventure-001-1-62,006Uj00000C4FhWIAV,1686.55,OK
UK,19,Spa - Day Pass,https://groupon.co.uk/deals/euphoria-spa-4,006Uj000008UxfZIAS,1684.81,OK
UK,20,Tea - Afternoon,https://groupon.co.uk/deals/doubletree-by-hilton-hotel-glasgow-central-3-1,006Uj00000Z3h7VIAR,1681.48,OK
UK,21,Sunday Roast,https://groupon.co.uk/deals/toby-carvery-3-1,006TU00000KPfxKYAT,1623.72,ADD top-gifts-v2
UK,22,Spa - Day Pass,https://groupon.co.uk/deals/portland-hall-spa-11,0063c00001RBh6oAAD,1622.66,OK
UK,23,Spa - Day Pass,https://groupon.co.uk/deals/blackwell-grange-hotel-26052641,006Uj000008pCCDIA2,1543.97,OK
UK,24,Spa - Day Pass,https://groupon.co.uk/deals/double-tree-by-hilton-glasgow-strathclyde-7,006Uj00000FnejdIAB,1529.12,OK
UK,25,Tea - Afternoon,https://groupon.co.uk/deals/skylark-golf-and-country-club-12,006Uj00000UlDmwIAF,1450.52,OK
UK,26,Spa - Hotel,https://groupon.co.uk/deals/muthu-clumber-park-hotel-2,006Hr00001MWPJTIA5,1444.23,OK
UK,27,Tea - Afternoon,https://groupon.co.uk/deals/thoresby-hall-hotel-spa-2,006Uj00000XtVGJIA3,1410.27,OK
UK,28,Spa - Day Pass,https://groupon.co.uk/deals/copthorne-hotel-merry-hill-spa-dudley-1,006Hr00001M2pcVIAR,1382.73,OK
UK,29,Amusement Park,https://groupon.co.uk/deals/the-snow-centre-manchester,006TU00000LAoicYAD,1376.68,OK
UK,30,Spa - Day Pass,https://groupon.co.uk/deals/macdonald-botley-park-hotel-spa-1-1,006Uj00000SBntJIAT,1368.24,OK
UK,31,PC Software,https://groupon.co.uk/deals/get-software-deals-8,006Uj00000MMExJIAX,1350.42,ADD top-gifts-v2
UK,32,Tea - Afternoon,https://groupon.co.uk/deals/piglets-pantry-4-1,006TU00000Jkn61YAB,1322.23,OK
UK,33,Spa - Day Pass,https://groupon.co.uk/deals/mineral-house-spa-at-the-crowne-plaze-newcastle-1,006Uj00000XNrv3IAD,1275.54,OK
UK,34,Spa - Day Pass,https://groupon.co.uk/deals/bannatyne-s-health-club-h-o-7-1,006TU00000LyfygYAB,1273.89,OK
UK,35,Steak,https://groupon.co.uk/deals/harvester-restaurants-3-1,006TU00000KzhMHYAZ,1186.78,OK
UK,36,PC Software,https://groupon.co.uk/deals/technivision-australia-parent,006Uj00000WJEEcIAP,1172.57,ADD top-gifts-v2
UK,37,Genealogy / Ancestry Research,https://groupon.co.uk/deals/myheritage-16,006Uj00000W5DOnIAN,1150.69,OK
UK,38,Spa - Day Pass,https://groupon.co.uk/deals/alveston-manor-hotel-1,006Uj00000UekcMIAR,1105.3,OK
UK,39,Spa - Day Pass,https://groupon.co.uk/deals/montcalm-royal-london-house-3,006Uj00000R2pZxIAJ,1099.25,OK
UK,40,Spa - Day Pass,https://groupon.co.uk/deals/3d-health-and-fitness-corby-6,0063c00001MXUUOAA5,1085.56,OK
UK,41,Spa - Day Pass,https://groupon.co.uk/deals/macdonald-inchyra-hotel-spa-2-1,006Uj00000WqumsIAB,1077.85,OK
UK,42,PC Software,https://groupon.co.uk/deals/get-software-deals-ltd-4,006Uj00000HYo8gIAD,1047.89,ADD top-gifts-v2
UK,43,Spa - Day Pass,https://groupon.co.uk/deals/craxton-wood-hotel-spa-7,006Uj00000S76RyIAJ,1046.4,OK
UK,44,Spa - Day Pass,https://groupon.co.uk/deals/crowne-plaza-marlow-non-accommodation-1,0063c00001P2w7AAAR,1013.34,OK
UK,45,Spa - Day Pass,https://groupon.co.uk/deals/the-westerwood-hotel-and-spa-2-1,006Uj00000TsnmDIAR,970.71,OK
UK,46,Tea - Afternoon,https://groupon.co.uk/deals/the-woodlands-bar-grill-1-1,006Uj00000Xd8vZIAR,961.2,OK
UK,47,Tapas,https://groupon.co.uk/deals/slug-lettuce-food-experiences-2026,006Uj00000UCKo7IAH,949.11,OK
UK,48,PC Software,https://groupon.co.uk/deals/rc-software,006Uj00000NxOU6IAN,946.48,ADD top-gifts-v2
UK,49,Spa - Day Pass,https://groupon.co.uk/deals/the-hayloft-spa-at-holbrook-1,006Uj00000T34j9IAB,943.05,OK
UK,50,Steakhouse,https://groupon.co.uk/deals/marco-pierre-white-s-london-steakhouse-co-14,006Uj00000IBKnRIAX,914.23,OK
UK,51,Massage - Choice of - In Spa,https://groupon.co.uk/deals/the-morritt-hotel-and-garage-spa-1,006Uj00000PSsnVIAT,908.28,OK
UK,52,Genealogy / Ancestry Research,https://groupon.co.uk/deals/myheritage-39,006TU00000LZAtFYAX,885.33,OK
UK,53,Spa - Day Pass,https://groupon.co.uk/deals/crowhurst-park-retreat-spa,006Uj000009s9PJIAY,883.86,OK
UK,54,Spa - Day Pass,https://groupon.co.uk/deals/bw-premier-suites-hotel-spa,006Uj00000GhFlmIAF,879.8,OK
UK,55,Head Spa,https://groupon.co.uk/deals/the-alchemy-hub-uk,006Uj00000UqZFEIA3,873.05,OK
UK,56,Tea - Afternoon,https://groupon.co.uk/deals/black-and-white-hospitality-2-1,006Uj00000WA2vnIAD,871.08,OK
UK,57,Spa - Day Pass,https://groupon.co.uk/deals/crabwall-manor-2-43880,006Uj000007ChpyIAC,870.53,OK
UK,58,Spa - Day Pass,https://groupon.co.uk/deals/the-bridge-hotel-and-spa-1-1,006Uj00000PlUM1IAN,858.1,OK
UK,59,Head Spa,https://groupon.co.uk/deals/house-of-hera-1,006Uj00000RCCViIAP,855.8,OK
